age,quiz_score_1,quiz_score_2,quiz_score_3,assignment_score_1,assignment_score_2,math_engagement_time,science_engagement_time,history_engagement_time,login_frequency,content_completion_rate,learning_style_auditory,learning_style_kinesthetic,learning_style_visual,cluster,recommendation
0.8181818181818181,0.9795918367346936,0.18367346938775508,0.46938775510204067,0.6734693877551019,0.26530612244897944,0.09174311926605505,0.07339449541284404,0.944954128440367,0.5,0.9999999999999998,False,True,False,1,Balanced Materials
0.7272727272727273,0.06122448979591821,0.16326530612244894,0.40816326530612224,0.9183673469387754,0.40816326530612224,0.06422018348623854,0.5779816513761468,0.4128440366972478,0.875,0.3877551020408161,True,False,False,0,Advanced Resources
0.18181818181818188,0.9999999999999998,0.36734693877551017,0.2448979591836733,0.6326530612244896,0.7755102040816324,0.42201834862385323,0.4311926605504587,0.3944954128440367,0.0,0.7142857142857142,False,False,True,2,Remedial Support
0.45454545454545436,0.4489795918367345,0.4897959183673468,0.5510204081632653,0.06122448979591821,0.020408163265305923,0.07339449541284404,0.3761467889908257,0.8348623853211009,0.25,0.9591836734693875,False,False,True,2,Remedial Support
0.8181818181818181,0.9183673469387754,0.8163265306122447,0.204081632653061,0.9795918367346936,0.8367346938775508,0.8073394495412844,0.6513761467889908,0.3944954128440367,1.0,0.6326530612244896,False,False,True,2,Remedial Support
0.2727272727272727,0.6326530612244896,0.18367346938775508,0.5510204081632653,0.346938775510204,0.020408163265305923,0.3302752293577982,0.44036697247706424,0.7981651376146789,0.875,0.5918367346938773,False,True,False,1,Balanced Materials
0.0,0.4897959183673468,0.9387755102040816,0.36734693877551017,0.36734693877551017,0.7755102040816324,0.853211009174312,0.027522935779816515,0.3486238532110092,0.875,0.7959183673469385,False,False,True,2,Remedial Support
0.18181818181818188,0.510204081632653,0.9591836734693875,0.16326530612244894,0.22448979591836715,0.36734693877551017,0.11009174311926606,0.45871559633027525,0.6605504587155964,0.125,0.7755102040816324,True,False,False,0,Advanced Resources
0.0,0.7755102040816324,0.693877551020408,0.857142857142857,0.7755102040816324,0.5714285714285712,0.8073394495412844,0.42201834862385323,0.3119266055045872,0.25,0.5510204081632653,True,False,False,0,Advanced Resources
0.2727272727272727,0.7346938775510203,0.693877551020408,0.16326530612244894,0.5510204081632653,0.06122448979591821,0.10091743119266056,0.1651376146788991,0.47706422018348627,0.375,0.8367346938775508,False,False,True,2,Remedial Support
